time,open,high,low,close,volume,ticker
2023-06-26,6200,6240,5890,6030,5608600,FIT
2023-06-27,6070,6110,5970,6030,3370400,FIT
2023-06-28,6070,6080,5870,5900,5597700,FIT
2023-06-29,5850,5980,5750,5750,3299400,FIT
2023-06-30,5760,5820,5520,5520,4155700,FIT
2023-07-03,5500,5640,5500,5570,2318100,FIT
2023-07-04,5580,5780,5580,5780,2002600,FIT
2023-07-05,5850,5880,5760,5760,2316800,FIT
2023-07-06,5760,5760,5550,5580,3154700,FIT
2023-07-07,5550,5720,5540,5700,1867400,FIT
2023-07-10,5640,5800,5640,5800,2434000,FIT
2023-07-11,5830,5970,5820,5890,3879500,FIT
2023-07-12,5900,5940,5790,5830,2628000,FIT
2023-07-13,5880,5910,5840,5880,2055500,FIT
2023-07-14,5950,6090,5910,6020,5418000,FIT
2023-07-17,6100,6290,6100,6180,5789300,FIT
2023-07-18,6200,6260,6040,6070,3492300,FIT
2023-07-19,6090,6100,5910,5920,3974000,FIT
2023-07-20,5920,6020,5900,6020,1946900,FIT
2023-07-21,6100,6120,6020,6060,1799900,FIT
2023-07-24,6100,6480,6070,6440,8640500,FIT
2023-07-25,6450,6500,6260,6290,4238000,FIT
2023-07-26,6330,6530,6300,6410,6985100,FIT
2023-07-27,6400,6470,6250,6350,4361600,FIT
2023-07-28,6380,6580,6360,6480,6183700,FIT
2023-07-31,6620,6800,6500,6700,9131600,FIT
2023-08-01,6790,6800,6350,6350,8992200,FIT
2023-08-02,6360,6460,6280,6380,4350000,FIT
2023-08-03,6380,6420,6210,6260,4076000,FIT
2023-08-04,6320,6470,6270,6450,4200300,FIT
2023-08-07,6600,6700,6500,6560,5646700,FIT
2023-08-08,6630,6750,6540,6560,5840800,FIT
2023-08-09,6600,7000,6510,6830,9883600,FIT
2023-08-10,6850,6880,6550,6600,4779000,FIT
2023-08-11,6680,6680,6360,6560,4416100,FIT
2023-08-14,6580,6740,6540,6630,3221800,FIT
2023-08-15,6650,6850,6650,6720,4751400,FIT
2023-08-16,6720,6750,6620,6630,3047500,FIT
2023-08-17,6630,6690,6400,6400,4359000,FIT
2023-08-18,6380,6390,5960,5960,7131400,FIT
2023-08-21,5800,5950,5550,5560,13036100,FIT
2023-08-22,5600,5730,5300,5710,3408500,FIT
2023-08-23,5810,5870,5660,5750,2377900,FIT
2023-08-24,5770,5780,5640,5780,3048800,FIT
2023-08-25,5780,5810,5700,5700,3512100,FIT
2023-08-28,5770,5820,5710,5750,3189100,FIT
2023-08-29,5790,5890,5730,5740,5773400,FIT
2023-08-30,5800,5850,5750,5830,2875900,FIT
2023-08-31,5830,5900,5800,5850,4054100,FIT
2023-09-05,5870,6080,5860,6050,4650500,FIT
2023-09-06,6070,6250,5980,6160,5152500,FIT
2023-09-07,6240,6240,6050,6090,5747500,FIT
2023-09-08,6120,6250,6060,6090,3395500,FIT
2023-09-11,6350,6350,6010,6020,5725500,FIT
2023-09-12,6020,6110,5980,6100,2815900,FIT
2023-09-13,6120,6180,5980,6040,4532600,FIT
2023-09-14,6020,6090,5800,5800,4173000,FIT
2023-09-15,5810,5990,5800,5820,1681700,FIT
2023-09-18,5820,5840,5720,5720,1833800,FIT
2023-09-19,5740,5790,5600,5600,2246200,FIT
2023-09-20,5610,5800,5610,5800,1237800,FIT
2023-09-21,5880,5880,5800,5850,1500700,FIT
2023-09-22,5900,5950,5650,5750,4117000,FIT
2023-09-25,5800,5810,5350,5350,2021000,FIT
2023-09-26,5300,5480,5060,5090,2703300,FIT
2023-09-27,5030,5150,4860,5100,2677900,FIT
2023-09-28,5110,5120,4990,5060,1509900,FIT
2023-09-29,5100,5160,5080,5100,1146300,FIT
2023-10-02,5170,5190,5100,5140,935100,FIT
2023-10-03,5130,5130,4800,4800,2033500,FIT
2023-10-04,4680,4930,4610,4900,1212400,FIT
2023-10-05,4970,4970,4820,4860,572300,FIT
2023-10-06,4860,4940,4820,4930,631900,FIT
2023-10-09,4910,5040,4910,4960,1044000,FIT
2023-10-10,5020,5070,4960,5000,2966800,FIT
2023-10-11,5000,5050,4970,5020,787500,FIT
2023-10-12,5050,5100,5010,5020,1158400,FIT
2023-10-13,5000,5030,4940,4980,1189300,FIT
