time,open,high,low,close,volume,ticker
2023-01-03,5330,5400,5330,5400,1200,CMM
2023-01-04,5400,5400,5330,5330,2000,CMM
2023-01-05,5400,5400,5400,5400,1000,CMM
2023-01-06,5330,5330,5330,5330,1000,CMM
2023-01-09,5330,5330,5330,5330,2300,CMM
2023-01-10,5330,5330,4870,5330,2500,CMM
2023-01-11,5330,5330,4730,4730,6100,CMM
2023-01-12,5330,5330,5330,5330,100,CMM
2023-01-16,4670,5270,4670,5270,5000,CMM
2023-01-17,5270,5270,5270,5270,200,CMM
2023-01-18,5270,5270,5000,5000,500,CMM
2023-01-27,5400,5400,5400,5400,100,CMM
2023-01-30,5330,5330,5330,5330,100,CMM
2023-01-31,5270,6130,4930,6000,31100,CMM
2023-02-01,6000,6000,6000,6000,200,CMM
2023-02-02,6000,6000,5200,6000,9500,CMM
2023-02-03,6000,6330,6000,6000,5900,CMM
2023-02-06,6270,6270,6270,6270,1000,CMM
2023-02-07,7130,7130,5400,5400,4200,CMM
2023-02-08,6670,6670,5670,5670,1400,CMM
2023-02-09,7130,7130,5670,6400,23800,CMM
2023-02-10,6000,6000,5930,5930,1200,CMM
2023-02-13,6000,6000,6000,6000,1000,CMM
2023-02-14,5870,5870,5870,5870,500,CMM
2023-02-15,5870,5930,5870,5930,500,CMM
2023-02-16,6000,6000,6000,6000,1000,CMM
2023-02-17,5870,5870,5870,5870,100,CMM
2023-02-20,6330,6330,5670,5670,600,CMM
2023-02-21,6730,6730,5600,5600,500,CMM
2023-02-22,6730,6730,5600,5600,1400,CMM
2023-02-23,6670,6670,6670,6670,300,CMM
2023-02-24,7600,7600,5670,5670,2000,CMM
2023-02-27,7000,7000,5330,5330,1600,CMM
2023-02-28,6730,6730,5130,5130,1200,CMM
2023-03-01,6600,6600,6600,6600,300,CMM
2023-03-02,7470,7470,5670,5670,2500,CMM
2023-03-07,5130,5530,5000,5530,1800,CMM
2023-03-08,5130,5130,4670,4670,500,CMM
2023-03-09,5130,5130,5130,5130,800,CMM
2023-03-10,4670,5670,4670,5670,2800,CMM
2023-03-13,4670,5400,4670,5400,3200,CMM
2023-03-14,5400,5400,5400,5400,500,CMM
2023-03-15,5000,5470,5000,5470,3400,CMM
2023-03-16,5400,5530,5400,5470,1300,CMM
2023-03-17,5400,5400,5400,5400,400,CMM
2023-03-20,5400,5400,5400,5400,300,CMM
2023-03-21,4730,4730,4730,4730,500,CMM
2023-03-22,5270,5270,5270,5270,500,CMM
2023-03-23,5270,5270,5270,5270,100,CMM
2023-03-24,5130,5130,5130,5130,1000,CMM
2023-03-28,5000,5000,5000,5000,100,CMM
2023-03-29,5330,5330,5330,5330,400,CMM
2023-03-30,5330,5330,5330,5330,100,CMM
2023-03-31,5330,5330,5330,5330,1000,CMM
2023-04-03,5800,5800,5800,5800,4000,CMM
2023-04-04,6670,6670,6670,6670,2000,CMM
2023-04-05,7200,7200,7200,7200,7000,CMM
2023-04-06,7270,7270,7270,7270,20400,CMM
2023-04-07,8000,8000,6000,6000,12300,CMM
2023-04-10,8000,8000,6070,6070,25800,CMM
2023-04-11,5730,5730,5730,5730,100,CMM
2023-04-12,7270,7270,5930,5930,12700,CMM
2023-04-13,6070,6070,5670,5670,6200,CMM
2023-04-14,5600,5870,5600,5730,1400,CMM
2023-04-17,5670,5670,5600,5670,23800,CMM
